"iteration","n_tot","n_rba","est_tot_DU","est_rba_DU","sd_tot_DU","sd_rba_DU","CoV_tot_DU","CoV_rba_DU","frcAct","ba_DU"
1,5,5,374.743903546196,57.9714880762228,31.0956726885413,2.40684520177482,0.0829784618089406,0.0415177405591214,-0.08,217.244617360655
2,5,5,380.085884092668,56.1415804539485,26.0155777969572,1.11612800105166,0.0684465771704754,0.019880594597211,-0.08,213.386222411987
3,5,5,378.935263317605,62.3177783046922,39.8133633287529,3.20425689979031,0.105066398360987,0.0514180220630403,-0.08,236.144037312567
4,5,5,408.236267957861,57.1024818179933,15.9250758406185,5.57692497483503,0.0390094587143893,0.097665194178613,-0.08,233.113040685092
5,5,5,365.507148979208,60.5594368212401,22.2002100157014,2.66232983829634,0.0607381006847675,0.0439622621682403,-0.08,221.349070963179
6,5,5,371.202649426811,58.8692712647456,29.9537826577365,4.46100044639497,0.0806938816411716,0.0757780816809004,-0.08,218.524294632992
7,5,5,382.71102278261,61.1262105616648,42.3930115804433,3.85956355407295,0.110770291569375,0.0631408935481021,-0.08,233.936745628799
8,5,5,381.329632242368,58.835526429014,24.6427653772345,2.95535118655152,0.0646232636900661,0.0502307256503807,-0.08,224.35729655962
9,5,5,382.850911434768,57.2617487693457,22.016164645204,4.0414386993662,0.0575058436264302,0.0705783317174855,-0.08,219.227127066927
10,5,5,356.245209504294,59.8606830750003,37.5614526107122,1.02391745265145,0.105437074264038,0.0171050078290716,-0.08,213.250815831236
11,5,5,422.301894189026,60.4562755615134,26.7665156259801,5.34618580656207,0.0633824190568258,0.08843061794507,-0.08,255.307996852408
12,5,5,371.893956859196,58.1752628259005,31.3727558817302,2.36862597174371,0.0843594129538609,0.0407153462947342,-0.08,216.350286836478
13,5,5,367.439127038127,54.6837195319585,23.1663867337948,2.45914128282561,0.0630482303845421,0.0449702636154519,-0.08,200.929381680206
14,5,5,359.499601494756,55.3158077524929,29.2560798427958,5.23545612509207,0.0813800063231017,0.0946466541448295,-0.08,198.860108433817
15,5,5,363.904921874797,57.1008079158014,36.9359186981783,4.12490275782591,0.101498815976131,0.072238956126651,-0.08,207.792650435875
16,5,5,405.912936085344,59.5831801145348,35.5092278709832,4.5322858388158,0.0874799118585304,0.0760665313617624,-0.08,241.855835815927
17,5,5,373.252004111933,56.8417700089219,40.2683370862074,4.8410539058865,0.107885119550842,0.0851671914003848,-0.08,212.163045730996
18,5,5,362.969338980898,56.1387558336074,31.0439295204017,0.835550065880647,0.0855276911475861,0.0148836584187433,-0.08,203.766470961345
19,5,5,379.05453274523,60.0290123550222,24.7886030858397,3.41448790500153,0.0653958756443643,0.0568806277339305,-0.08,227.542692293906
20,5,5,383.32058586431,58.1977030711016,35.2301735830958,3.25166546024667,0.0919078569799714,0.0558727456352363,-0.08,223.083776371718
21,5,5,362.082272688991,60.7958516581096,22.1664635336438,4.78413913787139,0.0612194111825066,0.078691868069805,-0.08,220.131001384311
22,5,5,377.291187280723,58.3595860230644,55.9391063843529,5.50043875645836,0.148265075544242,0.0942508186107509,-0.08,220.185574998534
23,5,5,367.706993635641,58.3578063904752,39.4092878130647,5.7049314333054,0.107175790765936,0.0977578114422843,-0.08,214.585735430124
24,5,5,369.068178350191,60.2946788211779,31.1255615010731,3.02059416066828,0.0843355329094222,0.0500971929816023,-0.08,222.52847276742
25,5,5,372.229594430656,58.9457603909944,14.4865554673765,2.39420036561416,0.0389183334268044,0.0406170070541653,-0.08,219.413564837465
26,5,5,371.628091746777,62.9090765400751,48.5875688576616,5.99141477411224,0.130742454450318,0.0952392739431728,-0.08,233.7878006814
27,5,5,368.391964231578,56.1411194630986,17.7077791708566,1.13005479184857,0.04806776718866,0.0201288254073976,-0.08,206.819372731706
28,5,5,357.123700036621,60.615976808061,30.8719837162311,5.07686467069293,0.086446191370288,0.0837545633681478,-0.08,216.474019190288
29,5,5,398.773181428897,57.2998737568469,26.6504063973066,1.71988086402844,0.0668309897416169,0.0300154389750802,-0.08,228.49652953492
30,5,5,383.338244494343,58.220399074454,35.0961466461747,3.48494586611451,0.0915539921994205,0.059857814812603,-0.08,223.181055749613
31,5,5,374.852236734572,55.4370393139649,29.4727097350343,3.27784445665181,0.0786248736082734,0.0591273361134584,-0.08,207.806981847821
32,5,5,369.055084385119,56.5445546641604,38.6842715758648,4.47313356423371,0.104819776810057,0.0791081226265085,-0.08,208.680553931007
33,5,5,377.175558183587,60.5654530449472,39.153510403016,3.89437853076038,0.103807125232538,0.0643003285696593,-0.08,228.438085588698
34,5,5,368.39683865275,60.4628252512884,35.3933361887172,5.91375977078689,0.0960739411286829,0.0978081944766694,-0.08,222.743136785883
35,5,5,373.452557640522,58.5224457753025,34.2761670601322,2.89344703788797,0.0917818511585231,0.0494416629304487,-0.08,218.553570541655
36,5,5,376.390323152975,60.3601588903855,36.6649630484007,3.8612703429644,0.0974120767538942,0.0639705132316914,-0.08,227.189797103171
37,5,5,351.440995418094,57.703478250466,28.7591748405873,2.82689239581698,0.0818321573622162,0.048989982606363,-0.08,202.793678354301
38,5,5,363.770069196272,57.9708962097746,31.3501743965259,2.91620082346332,0.0861812915663795,0.0503045668452441,-0.08,210.880769255996
39,5,5,383.307097182089,58.5002280260029,38.3988220490428,5.79243365029053,0.100177696503234,0.0990155738831623,-0.08,224.235525891375
40,5,5,378.453447510321,58.0945085672182,26.6333026079038,4.16089212451557,0.0703740520349665,0.0716228130185698,-0.08,219.860670486816
41,5,5,375.002198040466,59.5794753073983,41.9688035133141,3.86169478739432,0.11191615337888,0.0648158575997864,-0.08,223.42434198372
42,5,5,388.918261759185,57.3286386148422,24.9204278696572,3.1100609909115,0.0640762605410586,0.0542496920571617,-0.08,222.961544791049
43,5,5,371.291354829704,61.7625066943135,38.1321053135525,3.47985771922634,0.102701301329901,0.0563425596770141,-0.08,229.318847882103
44,5,5,387.913425969195,59.1316259907837,23.5822784606569,3.03748300974751,0.060792632793611,0.0513681631251089,-0.08,229.37951621214
45,5,5,357.573817113773,60.4152143242605,25.1207702882215,3.90920290856809,0.0702533828986382,0.0647056035849946,-0.08,216.028987976725
46,5,5,360.097529279744,57.6385830322979,27.4680818436197,6.08669442870425,0.0762795620913049,0.105601042018912,-0.08,207.555113411158
47,5,5,358.859354300989,59.5889371917774,14.7915940778428,5.76773060939315,0.0412183600638052,0.0967919698052448,-0.08,213.840475241234
48,5,5,393.123165160021,59.2058451970841,17.7243345059393,5.3424450502847,0.0450859579814498,0.0902350947360146,-0.08,232.751892598519
49,5,5,359.957280423889,56.0562483050754,40.970776559558,3.41632855801835,0.11382121931611,0.0609446522254866,-0.08,201.778546906612
50,5,5,360.781388221996,59.0531830016257,17.1940796918832,1.90495551455301,0.0476578899388883,0.0322583037480057,-0.08,213.052893422541
51,5,5,369.088864932118,57.6236175141659,15.2551378350235,2.32723629853111,0.0413318831437225,0.0403868482911368,-0.08,212.68235581586
52,5,5,363.311505803956,57.5281581076786,26.164654680043,2.88882987772536,0.0720171375309032,0.0502159285600311,-0.08,209.006417482288
53,5,5,360.473593033907,58.8331026089754,31.5541283494328,4.47739543616861,0.0875352008003114,0.0761033370265526,-0.08,212.077798867899
54,5,5,353.461956944745,56.4054117003353,25.1407787050789,2.28378824630436,0.071127254888732,0.0404888144144294,-0.08,199.371672018745
55,5,5,352.345084486609,59.6117090311673,54.9707752543543,5.05026318874656,0.156014026233545,0.084719315564432,-0.08,210.038926549778
56,5,5,371.598240075878,56.4244932032601,61.4641388408592,2.39164491099454,0.165404816848187,0.0423866440834307,-0.08,209.672423715048
57,5,5,352.169128834546,59.0112738350085,34.2308400833224,4.29648480846589,0.0972000021597708,0.0728078641460709,-0.08,207.819488978918
58,5,5,379.87130854599,56.064677152222,26.5068586506228,4.39260956362577,0.0697785225003737,0.078348967420241,-0.08,212.973622730231
59,5,5,382.640053861914,54.7944180220149,28.3265704591933,4.02792971064334,0.0740292872460646,0.0735098547634,-0.08,209.66539063276
60,5,5,336.523356398096,58.0057438914365,28.5463207697341,6.18978738088574,0.0848271605135328,0.106709904323795,-0.08,195.202876247146
61,5,5,361.926314602837,57.8160820807953,43.815816932644,5.2938019944611,0.12106281075673,0.0915627936715471,-0.08,209.251615122774
62,5,5,358.509281621865,58.3616363845102,37.2180966794804,4.41098117069282,0.103813481511856,0.0755801489463297,-0.08,209.231883344872
63,5,5,394.49072178624,60.1371348803206,18.6455040726432,2.29352434347791,0.0472647467809053,0.0381382376802998,-0.08,237.235417450941
64,5,5,369.119654705807,57.7138801132619,18.4314543142164,4.41722382721049,0.0499335488621067,0.0765365942913872,-0.08,213.033274991396
65,5,5,386.744776895703,62.650272089673,12.935047152388,3.24549931303286,0.0334459517623332,0.0518034352410711,-0.08,242.296655017757
66,5,5,382.360484622877,55.6608712728627,35.8135551458126,3.34956202885121,0.0936643732448858,0.0601780380409581,-0.08,212.825177144233
67,5,5,368.001915506809,61.5743894224823,17.4828980754281,5.38746762475389,0.0475076279191396,0.087495266705589,-0.08,226.594932536357
