"sum_sample_id","IVBAPb","rbaPb","IVBAAs","rbaAs"
"14R-SS-1001-IC",65.9,55.0502,35.2,30.808
"14R-SS-1005-IC",70.4,59.0012,35.4,30.966
"14R-SS-1011-IC",78.7,66.2886,57.1,48.109
"14R-SS-1017-IC",83.6,70.5908,42.6,36.654
"14R-SS-1021-IC",75.9,63.8302,26.4,23.856
"14R-SS-1030-IC",78.4,66.0252,28.8,25.752
"14R-SS-1035-IC",78,65.674,41.3,35.627
"14R-SS-106-IC",89.2,75.5076,49.1,41.789
"14R-SS-108-IC",87.1,73.6638,50.2,42.658
"14R-SS-109-IC",47.3,38.7194,34.2,30.018
"14R-SS-112-IC",84.8,71.6444,40.6,35.074
"14R-SS-112G-IC",79.3,66.8154,42.3,36.417
"14R-SS-113up-IC",86.2,72.8736,36.2,31.598
"14R-SS-115SP-IC",80.3,67.6934,24.4,22.276
"14R-SS-116M-IC",76.3,64.1814,27.8,24.962
"14R-SS-121-IC",70.3,58.9134,19.9,18.721
"14R-SS-123-IC",77.7,65.4106,20.6,19.274
"14R-SS-135-IC",72.9,61.1962,28.3,25.357
"14R-SS-151-IC",83.2333333333333,70.2688666666667,26.0666666666667,23.5926666666667
"14R-SS-152-IC",72.7,61.0206,22.1,20.459
"14R-SS-16-IC",75.8,63.7424,29.3,26.147
"14R-SS-163-IC",75.7,63.6546,33.2,29.228
"14R-SS-163G-IC",76.4,64.2692,40.2,34.758
"14R-SS-164-IC",68.2,57.0696,28.1,25.199
"14R-SS-168-IC",78.2,65.8496,46.8,39.972
"14R-SS-169A-IC",71.4,59.8792,32.6,28.754
"14R-SS-170-IC",67.2,56.1916,27.4,24.646
"14R-SS-172U-IC",42.9,34.8562,16.6,16.114
"14R-SS-175-IC",86.4,73.0492,46.7,39.893
"14R-SS-176G-IC",75.2,63.2156,41.7,35.943
"14R-SS-176M-IC",73,61.284,34.7,30.413
"14R-SS-177-IC",74.6,62.6888,39.9,34.521
"14R-SS-18-IC",64.8,54.0844,22.6,20.854
"14R-SS-186-IC",86.4,73.0492,34.8,30.492
"14R-SS-189-IC",80.6,67.9568,34.4,30.176
