"","sim.num","n_tot","est_tot_DU","n_rba","est_ivb_DU","est_rba_DU","ba_DU","errYN"
"1",1,1,297.19589623125,1,73.4276379154032,61.659466089724,183.249402856759,0
"2",2,1,551.229575378821,1,74.2976339561586,62.4233226135072,344.095816179788,1
"3",3,1,197.08353657671,1,75.5306536701361,63.5059139223795,125.159701093586,0
"4",4,1,261.756285358489,1,71.8387659954482,60.2644365440035,157.745950489807,0
"5",5,1,351.027014366722,1,72.8023073138902,61.1104258215956,214.514103228337,0
"6",6,1,654.453201211243,1,72.294507939173,60.6645779705938,397.021272529842,1
"7",7,1,189.552554658897,1,71.9445779487008,60.3573394389593,114.40887883069,0
"8",8,1,999.441941415632,1,79.0408265000996,66.5878456670874,665.506857481984,1
"9",9,1,112.786367810497,1,67.0363169501858,56.0478862822631,63.2143751723222,0
"10",10,1,279.141192455458,1,65.6264191921921,54.8099960507447,152.997276560838,0
"11",11,1,279.761842848783,1,79.3279980724077,66.839982307574,186.99276626347,0
"12",12,1,644.349803579183,1,72.8462988061757,61.1490503518223,394.013785832502,1
"13",13,1,340.226050420514,1,65.3458784499908,54.5636812790919,185.639857779892,0
"14",14,1,118.096159917168,1,78.00765925517,65.6807248260393,77.5664138253142,0
"15",15,1,315.636314887699,1,72.4571694628732,60.8073947884027,191.930220089329,0
"16",16,1,425.426428709355,1,68.3991574682889,57.2444602571577,243.533062905972,1
"17",17,1,297.446901205775,1,74.952079036853,62.9979253943569,187.385376909441,0
"18",18,1,134.436810442191,1,72.9488212984234,61.2390651000157,82.327845865078,0
"19",19,1,376.623013013068,1,67.6555452129892,56.5915686970045,213.136871138018,0
"20",20,1,252.021922229032,1,71.4858262686428,59.9545554638683,151.098623143912,0
"21",21,1,111.365192531737,1,70.9775982938163,59.5083313019707,66.2715677268636,0
"22",22,1,267.192836973823,1,68.7385188574333,57.5424195568264,153.749223277264,0
"23",23,1,273.495991616283,1,63.322323838591,52.7870003302829,144.370329997798,0
"24",24,1,570.596710599506,1,73.7405605624039,61.9342121737906,353.394577399368,1
"25",25,1,414.546277277348,1,78.2259894564425,65.8724187427565,273.071659650643,1
"26",26,1,163.20921125319,1,68.7679580876921,57.5682672009937,93.9567148308703,0
"27",27,1,280.982936039245,1,70.5947953833145,59.1722303465501,166.263870147642,0
"28",28,1,232.542660086557,1,72.4751044810716,60.8231417343809,141.439751737346,0
"29",29,1,440.918441635426,1,71.6726057830664,60.1185478775323,265.073764435463,1
"30",30,1,252.335620688436,1,72.1445614641058,60.5329249654849,152.746131932522,0
"31",31,1,221.070488293174,1,68.669487224646,57.4818097832391,127.07531756756,0
"32",32,1,970.141936193042,1,70.5131958886316,59.1005859902185,573.35956922694,1
"33",33,1,215.865910369769,1,78.9662261850935,66.5223465905121,143.599069066942,0
"34",34,1,106.851402213445,1,69.5909379788299,58.2908435454126,62.284583690319,0
"35",35,1,249.762337166651,1,71.0508601363148,59.5726551996844,148.790055938962,0
"36",36,1,107.500916618988,1,64.5989447345479,53.9078734769331,57.9514581175073,0
"37",37,1,309.033689401718,1,70.5653582271977,59.1463845234796,182.782254240636,0
"38",38,1,407.906839670604,1,61.0397325574014,50.7828851853984,207.14686205331,0
"39",39,1,204.521692599418,1,69.3078930599082,58.0423301065994,118.709155958159,0
"40",40,1,232.11273710133,1,71.1780473386293,59.6843255633166,138.534921685483,0
"41",41,1,377.216702169343,1,65.8770450595842,55.0300455623149,207.582523072451,0
"42",42,1,412.944700005966,1,68.5639897109013,57.3891829661713,236.985589435531,0
"43",43,1,239.136110007262,1,70.1533348484529,58.7846279969417,140.575272674126,0
"44",44,1,420.703717775024,1,70.4763577446048,59.068242099763,248.502290538055,1
"45",45,1,260.613593046589,1,75.9175325845685,63.8455936092512,166.390295506993,0
"46",46,1,344.195574954984,1,71.0846638964094,59.6023349010475,205.148599299255,0
"47",47,1,385.594505496315,1,66.3610949241895,55.4550413434383,213.831592441008,0
"48",48,1,457.723459737424,1,73.2854204467774,61.5345991522706,281.658296175329,1
"49",49,1,128.910395288564,1,70.9263993086948,59.4633785930341,76.6544763962153,0
"50",50,1,250.432466256445,1,67.5401982914132,56.4902940998608,141.470036709801,0
"51",51,1,259.584795136555,1,75.7431818296717,63.6925136464518,165.336081066464,0
"52",52,1,309.996916348968,1,65.2662908757003,54.4938033888649,168.92911010675,0
"53",53,1,263.997433386881,1,77.3560234067424,65.1085885511198,171.885002689381,0
"54",54,1,346.199821539866,1,72.9583721987997,61.2474507905462,212.038565334588,0
"55",55,1,279.658545218268,1,73.9785988451983,62.1432097860841,173.788796439699,0
"56",56,1,696.610757181036,1,73.3880949338544,61.6247473519242,429.28461913914,1
"57",57,1,378.143881418216,1,72.4890806421012,60.8354128037649,230.045391252951,0
"58",58,1,132.943105202873,1,83.4220960904139,70.4346003673834,93.6379448656339,0
"59",59,1,579.689590217693,1,71.8498966543786,60.2742092625444,349.403316680998,1
"60",60,1,328.096780986657,1,74.2859790877352,62.4130896390315,204.775338019979,0
"61",61,1,292.359178068942,1,73.7040827021692,61.9021846125045,180.976718139837,0
"62",62,1,386.307172670383,1,79.9968654386909,67.4272478551706,260.476294798761,1
"63",63,1,221.232233015522,1,71.6130757682911,60.0662805245596,132.885973693851,0
"64",64,1,366.823969062687,1,74.6524395139132,62.7348418932158,230.126437017896,0
"65",65,1,369.678155025827,1,73.1505185261855,61.4161552659909,227.042109675112,0
"66",66,1,263.023042296242,1,71.0925824933291,59.609287429143,156.786161287243,0
"67",67,1,105.321943719809,1,75.2877410858675,63.2926366733917,66.6610351759329,0
"68",68,1,185.404715880248,1,70.504236932193,59.0927200264654,109.560689670978,0
"69",69,1,348.580380864886,1,75.0470033291737,63.0812689230145,219.888927466247,0
"70",70,1,362.191656483625,1,70.2274211787765,58.8496757949657,213.148615597029,0
"71",71,1,180.189586656703,1,74.2147742645883,62.3505718043085,112.349237612274,0
"72",72,1,133.692301121211,1,74.2327318113677,62.3663385303808,83.3789931063106,0
"73",73,1,279.957311266421,1,72.5157823309785,60.8588568865991,170.378819407202,0
"74",74,1,368.633244665494,1,76.2677495651493,64.1530841182011,236.489595537909,0
"75",75,1,279.897239981153,1,72.2700539793437,60.6431073938638,169.738383834231,0
"76",76,1,183.6028711056,1,77.0102699056563,64.8050169771662,118.983871790549,0
"77",77,1,249.074132741892,1,72.4729708280314,60.8212683870115,151.490046757568,0
"78",78,1,284.802632483598,1,70.2446229915946,58.86477898662,167.648440159546,0
"79",79,1,208.231388536578,1,65.7510282766928,54.9194028269363,114.359435082526,0
"80",80,1,189.523867060644,1,67.2907189029981,56.2712511968323,106.647451311646,0
"81",81,1,159.513819371248,1,67.7960064073165,56.7148936256239,90.468092974573,0
"82",82,1,584.613562942648,1,75.4991347257907,63.4782402892442,371.102402248246,1
"83",83,1,153.637800842587,1,70.6330512261212,59.2058189765344,90.9625182463908,0
"84",84,1,447.535349400346,1,72.4892275464886,60.835541785817,272.260554490749,1
"85",85,1,271.276683076,1,77.2925052939152,65.0528196480575,176.473131388663,0
"86",86,1,360.56256419312,1,69.1147737572288,57.8727713588468,208.66754838108,0
"87",87,1,239.359665882299,1,66.6495542482883,55.7083086299971,133.343221405441,0
"88",88,1,117.530204469833,1,70.6075261008527,59.1834079165486,69.5583803365348,0
"89",89,1,180.072748106889,1,71.3401947282827,59.8266909714322,107.731566533674,0
"90",90,1,198.688082366979,1,74.1958006079442,62.333912933775,123.85005627242,0
"91",91,1,223.641269046768,1,69.3925752276847,58.1166810499071,129.972883027875,0
