"","sim.num","n_tot","est_tot_DU","n_rba","est_ivb_DU","est_rba_DU","ba_DU","errYN"
"1",1,4,893.99483840508,4,42.689351494528,34.6712506121956,309.959190883518,0
"2",2,4,835.968923978273,4,24.5262226442604,18.7240234816606,156.527017625077,1
"3",3,4,916.153249246635,4,42.3798185898135,34.3994807218562,315.151960357256,0
"4",4,4,779.135158692687,4,40.5864176372207,32.8248746854798,255.750139471389,0
"5",5,4,1244.27674485648,4,34.2190568159925,27.2343318844414,338.870458255138,0
"6",6,4,756.24307404999,4,44.7210868017793,36.4551142119622,275.689276364978,0
"7",7,4,842.284511992517,4,29.6326212075168,23.2074414201997,195.472684712079,1
"8",8,4,540.684285221691,4,29.6952500195301,23.2624295171474,125.776300759988,1
"9",9,4,794.411078815817,4,37.5861083850248,30.1906031620518,239.837496280658,1
"10",10,4,1186.27076540538,4,44.8177427983187,36.5399781769239,433.463078798355,0
"11",11,4,864.896276595706,4,26.8724857560341,20.7840424937979,179.760409654928,1
"12",12,4,766.767274338426,4,35.0844094187471,27.9941114696599,214.649685491172,1
"13",13,4,875.654093265785,4,42.4629689616292,34.4724867483104,301.859741262085,0
"14",14,4,684.356645279741,4,32.4019053745472,25.6388729188525,175.461330594995,1
"15",15,4,914.797872529686,4,39.4350226707994,31.8139499049619,291.033336898251,0
"16",16,4,877.809144751402,4,39.5099543858732,31.8797399507966,279.843272611059,0
"17",17,4,738.927826831473,4,23.4659315406558,17.7930878926958,131.478077691711,1
"18",18,4,907.146875058227,4,39.4289217177634,31.8085932681963,288.550659832424,0
"19",19,4,790.736219799742,4,36.7047021126595,29.4167284549151,232.608726573151,1
"20",20,4,1185.59571466339,4,38.4940098189998,30.9877406210818,367.389324874552,0
"21",21,4,894.095233990354,4,48.8009012665163,40.0371913120013,357.970619344203,0
"22",22,4,757.660144383515,4,33.0854094008532,26.2389894539491,198.802365381566,1
"23",23,4,681.208660496224,4,26.4070228673072,20.3753660774957,138.798758327711,1
"24",24,4,785.123253008332,4,37.415552196127,30.0408548281995,235.857736658671,1
"25",25,4,818.878769287083,4,30.0195251011486,23.5471430388085,192.822555118464,1
"26",26,4,735.643672212913,4,26.4531048186694,20.4158260307917,150.187732325516,1
"27",27,4,789.578641743313,4,30.8879377990968,24.309609387607,191.943483615772,1
"28",28,4,875.49447905788,4,35.621040793305,28.4652738165218,249.211900712357,0
"29",29,4,915.572387115732,4,53.7869561388696,44.4149474899275,406.650994969728,0
"30",30,4,890.464362079339,4,37.8066108740088,30.3842043473797,270.560511414777,0
"31",31,4,876.774294355448,4,27.1607463114672,21.0371352614682,184.448194241339,1
"32",32,4,803.611138547285,4,39.6772574032024,32.0266320000117,257.369582053643,0
"33",33,4,706.623737631575,4,42.6305383495582,34.6196126709121,244.630401008773,0
"34",34,4,949.817916183595,4,34.3592054009806,27.357382342061,259.845318883742,0
"35",35,4,663.561913662631,4,27.4333895426586,21.2765160184542,141.182856852791,1
"36",36,4,712.39946630553,4,40.3583198729413,32.6246048484424,232.417510824592,1
"37",37,4,906.388654734792,4,42.5664291300324,34.5633247761685,313.278054470331,0
"38",38,4,834.099351386454,4,37.9437527317289,30.504614898458,254.438795010974,0
"39",39,4,707.567137337147,4,34.351566873487,27.3506757149216,193.524393198437,1
"40",40,4,788.085692963332,4,35.2399905638855,28.1307117150915,221.694114355396,1
"41",41,4,798.022757539407,4,32.4193044908199,25.6541493429398,204.725950009806,1
"42",42,4,813.970032418151,4,24.1628543076371,18.4049860821054,149.811071179069,1
"43",43,4,659.439745286102,4,35.2973550687804,28.1810777503892,185.837227336045,1
"44",44,4,694.768470240796,4,36.5828195448843,29.3097155604085,203.634662430978,1
"45",45,4,725.755683432972,4,38.4174987392034,30.9205638930206,224.40774980312,1
