"","sim.num","n_tot","est_tot_DU","n_rba","est_ivb_DU","est_rba_DU","ba_DU","errYN"
"1",1,4,263.916767211814,4,26.6650909440296,20.601949848858,54.3720000237052,0
"2",2,4,187.264105816613,4,36.2688331102393,29.0340354707901,54.3703269068533,0
"3",3,4,257.594769017753,4,32.1863644801378,25.449628013561,65.55691049741,0
"4",4,4,277.948733819147,4,50.689305289232,41.6952100439457,115.891308380381,0
"5",5,4,195.212555345038,4,53.5932644616846,44.2448861973591,86.3715729553685,0
"6",6,4,247.394119079026,4,46.5804857616348,38.0876664987153,94.226647012254,0
"7",7,4,259.676578365183,4,41.5563919205716,33.6765121062619,87.4500143502775,0
"8",8,4,236.691712126517,4,38.4345083896128,30.93549836608,73.2217607375456,0
"9",9,4,292.164483537095,4,31.8954631107097,25.1942166112031,73.6085528433385,0
"10",10,4,266.891521934465,4,27.1851801244317,21.058588149251,56.2035864094468,0
"11",11,4,296.379568903058,4,35.5464196659516,28.3997564667055,84.1710757855401,0
"12",12,4,276.192105429837,4,45.8515258565178,37.4476397020227,103.427424526796,0
"13",13,4,223.742234344635,4,34.1419644639281,27.1666447993289,60.7832580704889,0
"14",14,4,230.446372120826,4,39.0115716126405,31.4421598758984,72.4573167504376,0
"15",15,4,230.620668389646,4,35.4801074804073,28.3415343677976,65.361435990896,0
"16",16,4,301.269794971713,4,37.0133702512495,29.687739080597,89.4401906598519,0
"17",17,4,332.348120988159,4,32.5240359474074,25.7461035618237,85.5666914153865,0
"18",18,4,256.94110047221,4,30.0216038448459,23.5489681757747,60.506977980686,0
"19",19,4,158.787171085475,4,37.6187959838853,30.2193028738513,47.9843761551403,0
"20",20,4,265.764096154956,4,39.6039289506569,31.9622496186767,84.9441838098672,0
"21",21,4,247.477537375479,4,46.8423557138924,38.3175883167975,94.8274239480845,0
"22",22,4,267.629432116427,4,31.4376449551101,24.7922522705867,66.351363960643,0
"23",23,4,166.693908213547,4,40.6999515036056,32.9245574201657,54.8832315256875,0
"24",24,4,239.84658917927,4,37.2651395773997,29.908792548957,71.735218793377,0
"25",25,4,266.383815139834,4,31.2421994130802,24.6206510846844,65.5854296716492,0
"26",26,4,339.809990392624,4,33.7490877194234,26.8216990176537,91.1428128550276,0
"27",27,4,317.318412460068,4,19.9954368224018,14.7459935300688,46.7917525710785,0
"28",28,4,257.90754908274,4,31.5188545996519,24.8635543384944,64.1249836092662,0
"29",29,4,348.774667433183,4,41.9951589724921,34.0617495778481,118.798753812063,0
"30",30,4,328.773853249324,4,28.6130160674099,22.3122281071859,73.3567720937738,0
"31",31,4,211.368811957915,4,20.0272338362051,14.773911308188,31.2274408118332,0
"32",32,4,207.171604961033,4,30.9529878959694,24.3667233726611,50.480931887557,0
"33",33,4,231.027060313713,4,27.9655053384871,21.7437136871917,50.2338625345495,0
"34",34,4,288.837824146672,4,42.7332886097689,34.7098273993771,100.255110225426,0
"35",35,4,277.785321318966,4,38.7085110735905,31.1760727226125,86.6025537871435,0
"36",36,4,293.847324563212,4,35.14646913729,28.0485999025406,82.4200603910551,0
"37",37,4,299.990922847163,4,35.0422580287739,27.9571025492635,83.8687699388632,0
"38",38,4,202.961978456201,4,33.2418989017509,26.3763872357373,53.5340373789214,0
"39",39,4,206.236949964658,4,42.4206685768909,34.4353470105102,71.0184093842222,0
"40",40,4,276.851181493555,4,33.997486226049,27.039792906471,74.8599861349757,0
"41",41,4,424.094545023087,4,33.6357491146974,26.7221877227043,113.327340442818,0
"42",42,4,309.685276089271,4,45.5945606822786,37.2220242790406,115.271128654562,0
"43",43,4,262.404724986797,4,32.3412688544074,25.5856340541697,67.1379126759723,0
"44",44,4,266.891149887267,4,23.1772001481562,17.5395817300811,46.8115913648305,0
"45",45,4,347.598370305477,4,45.9200998695318,37.5078476854489,130.376667291281,0
"46",46,4,267.839298016365,4,36.8789240434858,29.5696953101805,79.1992643443655,0
"47",47,4,297.323988324046,4,42.6713719149413,34.6554645413184,103.039009346474,0
"48",48,4,206.151983570939,4,32.6282612117826,25.8376133439451,53.2647524159325,0
"49",49,4,295.570083159821,4,44.9673659462317,36.6713473007915,108.389531712776,0
"50",50,4,320.070002857384,4,38.1074112737812,30.6483070983799,98.0960374055245,0
"51",51,4,279.592297125988,4,26.6329237927265,20.5737070900139,57.522500256942,0
"52",52,4,250.188364391438,4,48.2048952771316,39.5138980533215,98.8591752469053,0
"53",53,4,356.374158346199,4,43.415069975997,35.3084314389253,125.830125365715,0
"54",54,4,331.703941157699,4,33.6092822663056,26.6989498298163,88.5614688332173,0
"55",55,4,347.37630891651,4,25.5197188251994,19.5963131285251,68.072949229592,0
"56",56,4,260.681960174569,4,39.53834807808,31.9046696125542,83.1697181332265,0
"57",57,4,293.328432016486,4,24.7593632221544,18.9287209090516,55.5233202432979,0
"58",58,4,193.021709268714,4,41.1194712178283,33.2928957292532,64.2625164016553,0
"59",59,4,305.40617542198,4,39.6297312298174,31.9849040197797,97.6838720792003,0
"60",60,4,287.574993305453,4,35.6067430250832,28.4527203760231,81.8229087165676,0
"61",61,4,322.342812788203,4,39.5951004954842,31.9544982350351,103.003028423169,0
"62",62,4,261.675380845808,4,36.3198781852707,29.0788530466677,76.0921994554606,0
"63",63,4,250.102604720493,4,26.2980210819313,20.2796625099357,50.7199641658745,0
"64",64,4,281.728028557454,4,38.1547443153536,30.6898655088805,86.4619530651029,0
"65",65,4,223.275194666764,4,40.6048680827639,32.8410741766667,73.3259722986089,0
"66",66,4,316.224553613953,4,24.289677077296,18.5163364738659,58.5532023601399,0
"67",67,4,230.222508998588,4,26.2156917367287,20.2073773448478,46.5219311261208,0
"68",68,4,386.97107630873,4,40.0809529353268,32.3810766772169,125.305400938182,0
"69",69,4,372.110135333489,4,30.7397961899867,24.1795410548083,89.9745229420638,0
"70",70,4,217.403962724893,4,37.6338096453227,30.2324848685934,65.7266201345258,0
"71",71,4,295.89404833491,4,24.6686200827831,18.8490484326836,55.7732124800754,0
"72",72,4,215.349106670715,4,37.8512416424004,30.4233901620275,65.5164989328723,0
"73",73,4,309.819786410791,4,41.1318804720731,33.3037910544802,103.181734311687,0
"74",74,4,297.575265322552,4,25.5674240763244,19.6381983390128,58.4384208118863,0
"75",75,4,233.242141078785,4,36.9462797178512,29.6288335922734,69.1069258472887,0
"76",76,4,213.480519080312,4,32.1954045252389,25.4575651731597,54.3469422768701,0
"77",77,4,269.06439376147,4,32.1892478441435,25.452159607158,68.4826989462012,0
"78",78,4,314.142705694524,4,24.6898421907259,18.8676814434573,59.2714449883006,0
"79",79,4,260.067906858598,4,32.8839864985264,26.0621401457062,67.7792623594926,0
"80",80,4,273.348529828047,4,39.0398972923481,31.4670298226817,86.0146634008535,0
"81",81,4,298.279864159522,4,37.1057873204252,29.7688812673334,88.7945786060115,0
"82",82,4,205.749845874184,4,31.6732940115363,24.9991521421289,51.4357170022829,0
"83",83,4,248.649155343804,4,45.7958070934895,37.3987186280838,92.9915979781361,0
"84",84,4,458.375493689704,4,36.1750330542671,28.9516790216465,132.707401646931,0
"85",85,4,423.181303456235,4,46.5936069189264,38.0991868748173,161.228635623079,0
"86",86,4,294.823256088746,4,30.4001733300231,23.8813521837603,70.4077801061829,0
