"","sim.num","sample.num","incr.num","sim.value"
"1",1,1,1,163.744257251521
"2",1,2,1,240.295900771496
"3",1,3,1,479.347771953123
"4",1,4,1,207.693071022989
"5",2,1,1,193.842417062445
"6",2,2,1,211.375340063851
"7",2,3,1,152.524634180186
"8",2,4,1,198.764119635425
"9",3,1,1,213.034715767499
"10",3,2,1,131.481262166269
"11",3,3,1,325.793347271285
"12",3,4,1,366.652933040215
"13",4,1,1,193.321074607447
"14",4,2,1,276.043842588899
"15",4,3,1,239.765429698651
"16",4,4,1,422.815817638234
"17",5,1,1,197.335190500787
"18",5,2,1,219.228049740068
"19",5,3,1,152.449680448827
"20",5,4,1,219.82709975658
"21",6,1,1,228.292495484465
"22",6,2,1,148.765331196895
"23",6,3,1,308.897962021331
"24",6,4,1,304.156661573204
"25",7,1,1,323.573273982343
"26",7,2,1,209.03534398882
"27",7,3,1,308.202368552197
"28",7,4,1,230.258197818018
"29",8,1,1,303.64190918141
"30",8,2,1,133.916642230236
"31",8,3,1,351.543909378534
"32",8,4,1,192.685273333065
"33",9,1,1,294.332394680467
"34",9,2,1,313.455932666474
"35",9,3,1,259.109286060106
"36",9,4,1,299.800745003732
"37",10,1,1,285.210643606011
"38",10,2,1,294.540706741938
"39",10,3,1,254.027105161919
"40",10,4,1,205.942363065407
"41",11,1,1,423.88099969502
"42",11,2,1,272.384585611578
"43",11,3,1,163.396819587746
"44",11,4,1,301.946693258194
"45",12,1,1,219.174103188187
"46",12,2,1,401.570745568696
"47",12,3,1,239.672880717027
"48",12,4,1,265.306633798941
"49",13,1,1,271.938561999297
"50",13,2,1,333.567665235168
"51",13,3,1,208.270679431413
"52",13,4,1,115.672786310046
"53",14,1,1,249.811117136525
"54",14,2,1,141.970890834856
"55",14,3,1,281.169040834825
"56",14,4,1,255.652276669008
"57",15,1,1,185.230114838005
"58",15,2,1,458.689949350647
"59",15,3,1,187.790936068927
"60",15,4,1,113.339285446564
"61",16,1,1,296.280389571188
"62",16,2,1,279.334927979045
"63",16,3,1,388.081982757662
"64",16,4,1,279.299573928662
"65",17,1,1,325.252346689852
"66",17,2,1,247.067007759041
"67",17,3,1,590.831658753948
"68",17,4,1,217.364450922693
"69",18,1,1,184.638038114957
"70",18,2,1,164.517118404823
"71",18,3,1,304.735648685493
"72",18,4,1,375.117021255934
"73",19,1,1,186.001548550831
"74",19,2,1,160.588999969569
"75",19,3,1,194.423367976049
"76",19,4,1,136.869131708749
"77",20,1,1,120.585450342204
"78",20,2,1,466.586053071717
"79",20,3,1,183.495610984067
"80",20,4,1,260.083772811392
"81",21,1,1,277.346306813821
"82",21,2,1,198.25962822792
"83",21,3,1,311.786985407085
"84",21,4,1,215.939529435967
"85",22,1,1,263.335420568385
"86",22,2,1,233.104887851859
"87",22,3,1,239.552860760418
"88",22,4,1,306.642446779068
"89",23,1,1,127.424048713322
"90",23,2,1,163.859587676651
"91",23,3,1,199.6521766182
"92",23,4,1,157.783081940596
"93",24,1,1,155.366056638124
"94",24,2,1,258.433609527339
"95",24,3,1,317.772471890517
"96",24,4,1,261.201232508372
"97",25,1,1,311.872419238178
"98",25,2,1,242.72117782371
"99",25,3,1,191.972853545616
"100",25,4,1,346.99404191292
"101",26,1,1,222.46474054017
"102",26,2,1,390.024496146223
"103",26,3,1,265.165866892402
"104",26,4,1,492.702799352266
"105",27,1,1,231.855129025299
"106",27,2,1,181.93439043738
"107",27,3,1,557.947846212909
"108",27,4,1,326.820226932392
"109",28,1,1,379.367072456098
"110",28,2,1,261.146557727625
"111",28,3,1,151.471885265506
"112",28,4,1,246.298401756436
"113",29,1,1,428.322279474597
"114",29,2,1,200.107352402596
"115",29,3,1,256.019445958985
"116",29,4,1,493.887871274029
"117",30,1,1,292.399998179787
"118",30,2,1,273.943378341414
"119",30,3,1,543.778707526287
"120",30,4,1,186.223820346594
"121",31,1,1,211.410700873251
"122",31,2,1,209.274585840164
"123",31,3,1,210.062387300739
"124",31,4,1,227.524345613405
"125",32,1,1,247.166220973359
"126",32,2,1,230.702217998107
"127",32,3,1,181.810352604968
"128",32,4,1,167.267126036929
"129",33,1,1,206.349095078246
"130",33,2,1,257.486934222404
"131",33,3,1,231.806167016534
"132",33,4,1,219.657254326607
"133",34,1,1,308.796082096744
"134",34,2,1,304.100638501578
"135",34,3,1,303.172105000539
"136",34,4,1,268.08005366582
"137",35,1,1,317.824681958889
"138",35,2,1,166.153214493841
"139",35,3,1,191.323311900863
"140",35,4,1,442.252539167131
"141",36,1,1,212.8295702869
"142",36,2,1,316.165966085007
"143",36,3,1,299.530128804657
"144",36,4,1,342.101829484475
"145",37,1,1,242.990419844145
"146",37,2,1,486.829550154066
"147",37,3,1,274.236576206364
"148",37,4,1,207.834685666202
"149",38,1,1,164.771581365803
"150",38,2,1,236.279007477821
"151",38,3,1,169.8577765246
"152",38,4,1,254.896632857669
"153",39,1,1,163.975795223882
"154",39,2,1,290.318905123029
"155",39,3,1,235.799105034718
"156",39,4,1,154.217606544595
"157",40,1,1,234.386559283577
"158",40,2,1,309.907611751088
"159",40,3,1,302.413461157047
"160",40,4,1,250.03020953255
"161",41,1,1,555.245579290771
"162",41,2,1,450.662600563872
"163",41,3,1,449.002713034768
"164",41,4,1,225.097404861338
"165",42,1,1,234.672709635548
"166",42,2,1,280.329939024989
"167",42,3,1,409.09888835992
"168",42,4,1,324.054478429772
"169",43,1,1,111.759990191052
"170",43,2,1,160.139638541101
"171",43,3,1,232.661564723696
"172",43,4,1,512.627719743386
"173",44,1,1,195.687584180902
"174",44,2,1,229.07781622865
"175",44,3,1,310.676185807796
"176",44,4,1,290.18063848377
"177",45,1,1,568.51070312468
"178",45,2,1,180.945472453465
"179",45,3,1,458.782395041213
"180",45,4,1,139.238996918569
"181",46,1,1,220.768145456508
"182",46,2,1,404.306387494226
"183",46,3,1,238.018932379243
"184",46,4,1,230.186005413078
"185",47,1,1,279.232025275194
"186",47,2,1,254.207791424155
"187",47,3,1,181.659143373868
"188",47,4,1,475.898504739167
"189",48,1,1,195.149036730444
"190",48,2,1,216.066235656834
"191",48,3,1,152.316775778597
"192",48,4,1,290.660649190841
"193",49,1,1,212.747424532754
"194",49,2,1,455.910642858916
"195",49,3,1,331.243795205548
"196",49,4,1,231.063746512147
"197",50,1,1,249.994584655727
"198",50,2,1,598.65760423313
"199",50,3,1,203.251613469775
"200",50,4,1,239.671171436964
"201",51,1,1,271.124651610819
"202",51,2,1,509.027463585517
"203",51,3,1,247.048561558694
"204",51,4,1,121.410890708831
"205",52,1,1,264.560490868254
"206",52,2,1,355.502041384737
"207",52,3,1,162.58859738335
"208",52,4,1,176.115106980868
"209",53,1,1,271.004749185809
"210",53,2,1,473.187449797435
"211",53,3,1,326.250875291028
"212",53,4,1,356.102522848269
"213",54,1,1,181.201526405686
"214",54,2,1,629.90033633589
"215",54,3,1,272.782472296701
"216",54,4,1,211.160058684404
"217",55,1,1,148.022970682207
"218",55,2,1,382.118576930184
"219",55,3,1,513.763617100862
"220",55,4,1,333.163246799642
"221",56,1,1,424.596675978429
"222",56,2,1,203.576432858167
"223",56,3,1,175.312178274891
"224",56,4,1,225.729428669755
"225",57,1,1,458.103731205033
"226",57,2,1,218.408921380876
"227",57,3,1,251.742608661799
"228",57,4,1,233.498703308491
"229",58,1,1,216.994516682245
"230",58,2,1,165.30548664464
"231",58,3,1,254.151666470163
"232",58,4,1,154.751785170079
"233",59,1,1,355.392958157771
"234",59,2,1,413.284753914426
"235",59,3,1,332.737660109898
"236",59,4,1,155.662855560648
"237",60,1,1,207.789632486956
"238",60,2,1,466.301660191686
"239",60,3,1,165.874829362435
"240",60,4,1,273.576721034193
"241",61,1,1,290.432165971507
"242",61,2,1,444.503752703079
"243",61,3,1,242.923638586911
"244",61,4,1,307.399196782494
"245",62,1,1,229.566079166954
"246",62,2,1,202.22152068146
"247",62,3,1,345.956970314068
"248",62,4,1,276.975443315664
"249",63,1,1,311.036237222714
"250",63,2,1,233.356970276997
"251",63,3,1,188.418170808746
"252",63,4,1,267.117841473461
"253",64,1,1,262.460641174986
"254",64,2,1,339.904141529117
"255",64,3,1,318.160426028531
"256",64,4,1,235.784599173937
"257",65,1,1,242.655013245502
"258",65,2,1,228.7757122734
"259",65,3,1,218.660293400331
"260",65,4,1,228.620107230234
"261",66,1,1,208.27375284057
"262",66,2,1,328.366339470581
"263",66,3,1,257.285249836645
"264",66,4,1,469.04832264374
"265",67,1,1,229.407090795518
"266",67,2,1,238.445545840863
"267",67,3,1,204.603246613802
"268",67,4,1,258.398250949837
"269",68,1,1,339.625671005832
"270",68,2,1,332.857286881022
"271",68,3,1,449.987485070212
"272",68,4,1,408.490185326558
"273",69,1,1,236.691588238356
"274",69,2,1,304.213466331888
"275",69,3,1,648.56236675713
"276",69,4,1,307.562541156683
"277",70,1,1,278.579748286989
"278",70,2,1,127.54772515935
"279",70,3,1,226.073474690888
"280",70,4,1,203.4564749579
"281",71,1,1,313.562744136381
"282",71,2,1,444.259296861974
"283",71,3,1,315.497666299328
"284",71,4,1,108.294596264183
"285",72,1,1,219.493442389488
"286",72,2,1,207.925321336713
"287",72,3,1,237.975509842268
"288",72,4,1,196.200335805635
"289",73,1,1,294.878390714073
"290",73,2,1,301.455394043482
"291",73,3,1,455.857180839052
"292",73,4,1,187.544885579274
"293",74,1,1,310.386697154752
"294",74,2,1,276.394780279291
"295",74,3,1,292.649380344491
"296",74,4,1,297.12482720146
"297",75,1,1,223.556618996459
"298",75,2,1,206.534043899801
"299",75,3,1,280.058945770958
"300",75,4,1,222.508176122889
